#q1           q2            q3            q4            lamb1         lamb2         lamb3         lamb4         
1.5428643277437422e-14  9.9999999999999878e-01  -1.8545976644267043e-01  1.3983290787240275e+00  -8.3575948823510449e-01  -3.1298799254261369e+00  6.1465843549061017e-01  1.3590761996191150e+00  
1.1247952461042898e-13  9.9999999999999789e-01  -3.3894775230037139e-01  2.3720139513289720e+00  -3.9633621460350954e-01  8.0542064826412699e-02  1.8082912990634087e-01  1.0779771670090063e-01  
-1.2178754736703433e-13  1.0000000000001166e+00  -3.8174134288779416e-01  2.5559696831854657e+00  -3.8180207634684138e-01  2.1409451564035048e-01  1.6515047170020894e-01  7.4428235814109886e-02  
3.5392732234911729e-14  1.0000000000000360e+00  -2.8876780252015899e-01  1.9214877814368654e+00  -5.6374398899324363e-01  -5.9619052261198280e-01  3.1124809456980862e-01  3.2032682616195085e-01  
-1.9612548071290474e-14  1.0000000000000071e+00  -2.6117952840059799e-01  1.9723665218915962e+00  -4.6527407264367021e-01  -4.5014977181183702e-01  2.4753109861549111e-01  2.6544885131413171e-01  
-7.1341084257059586e-14  1.0000000000000173e+00  -1.6671575763639124e-01  1.6812786241403348e+00  -4.2861613999347259e-01  -1.2108313933225650e+00  2.6027222578927700e-01  5.2814524308898547e-01  
-1.7531142437684237e-14  1.0000000000000051e+00  -1.9295678963227886e-01  1.6648003153208997e+00  -5.1783168594107787e-01  -1.3127328480062896e+00  3.1983191745990314e-01  5.7223182879489431e-01  
5.3017781153262963e-14  9.9999999999999412e-01  -3.3943225075614925e-01  2.3201259396212319e+00  -4.2085825333741833e-01  2.5362026712197578e-02  1.9632819905368601e-01  1.2382908772597910e-01  
4.2317174038775485e-15  1.0000000000000040e+00  -3.5986189226773335e-01  1.4035363868754578e+00  -2.0338870342707702e+00  -4.0881318274834388e+00  1.6108448538813098e+00  1.9442511054289275e+00  
3.6493651902179206e-14  1.0000000000000160e+00  -3.3685944662521861e-01  2.1039909120534634e+00  -5.3912674089874535e-01  -2.7281816253055069e-01  2.7714412419825563e-01  2.1693441777011141e-01  
-5.3423400749351748e-14  1.0000000000000091e+00  -1.8077629287935917e-01  1.7170133877397860e+00  -4.4229691380844527e-01  -1.0876946299103343e+00  2.6389567227770239e-01  4.8318020225410641e-01  
-2.7953626103150427e-14  1.0000000000000651e+00  -1.8950848523109398e-01  2.3365147754947442e+00  -2.0694336517411027e-01  1.2134885551273365e-01  9.0851818822426406e-02  8.6555611498305568e-02  
-6.4815676306126755e-14  1.0000000000000093e+00  -2.8852638912689677e-01  2.0906409301762077e+00  -4.5032488708262930e-01  -2.5058625313729621e-01  2.2825545592989244e-01  2.0313694824979889e-01  
-7.2040554796393854e-15  1.0000000000000115e+00  -1.5570221849154559e-01  1.4719316474471222e+00  -5.8308878719400847e-01  -2.3758222440420207e+00  4.0381861299802524e-01  1.0089243716110463e+00  
-4.7962706496642646e-14  1.0000000000000397e+00  -3.6892455316841005e-01  2.1229534853367453e+00  -5.9476175110490903e-01  -2.7371904132886637e-01  3.0761274282131545e-01  2.2231949225221184e-01  
1.9791471034141178e-14  9.9999999999996414e-01  -2.1882274203541457e-01  2.1865782055034826e+00  -2.8912130320519824e-01  -6.0114040521595608e-02  1.3673724668773238e-01  1.3834306678049135e-01  
1.9941488871309272e-14  9.9999999999989408e-01  -3.2842549745865290e-01  2.4622687199282560e+00  -3.4478460844762976e-01  1.6965717776283740e-01  1.5091402161284678e-01  8.2178041310922240e-02  
-1.7060708342152695e-12  1.0000000000025648e+00  -3.5243129172892046e-01  2.4600506204489609e+00  -3.7904785787534462e-01  1.5419428749700595e-01  1.6785125313019622e-01  8.8319272747619512e-02  
1.4577096714999021e-14  9.9999999999998013e-01  -1.4567951743931931e-01  1.4818967912902550e+00  -5.3127488273717616e-01  -2.2809089460128051e+00  3.6456621985865395e-01  9.6517305027621147e-01  
-7.6454935555735588e-14  1.0000000000000442e+00  -3.1148438172825937e-01  2.5685289094855444e+00  -2.8804977407449123e-01  2.5806359022680103e-01  1.2011338535927002e-01  5.8020872188032986e-02  
1.4268633418314678e-13  9.9999999999999101e-01  -3.8890060526044679e-01  2.1240282447840189e+00  -6.3921069151850829e-01  -2.9420598571848827e-01  3.3378132552409023e-01  2.3279295542054301e-01  
-6.2164754064798617e-15  1.0000000000000406e+00  -3.4365732289363399e-01  1.8892800139721981e+00  -7.3936630788480606e-01  -7.5737427498585697e-01  4.2553216481259459e-01  3.9081822993723780e-01  
1.0435142620483603e-13  9.9999999999992117e-01  -1.4916462879562459e-01  1.9386877077168234e+00  -2.6009215897833943e-01  -4.3668757694317212e-01  1.3630825100118704e-01  2.4944350954176056e-01  
1.1439838892997712e-13  1.0000000000000255e+00  -2.6286501064276480e-01  2.4135789103103855e+00  -2.7595547620898042e-01  1.6112431509420375e-01  1.2002620563967045e-01  8.0006027147143610e-02  
-2.8827502965516773e-16  9.9999999999999889e-01  -2.3682555713844575e-01  1.1395161740039790e+00  -3.3850109400865791e+00  -1.2826447970292513e+01  3.1287556637540384e+00  6.3351017978047661e+00  
5.6275196615360669e-14  9.9999999999999800e-01  -1.5070935768917165e-01  2.4399648563039174e+00  -1.4394038335722387e-01  2.2240687133303397e-01  5.9969105792782695e-02  5.9662741870561961e-02  
1.1495370924874242e-13  9.9999999999986833e-01  -1.4103346695930880e-01  2.5749181348192085e+00  -1.1589268365090047e-01  3.1659745432619518e-01  4.5680648537575252e-02  3.7489793057384854e-02  
5.9515322833610856e-14  9.9999999999996814e-01  -1.6405729351489517e-01  1.6743416824241339e+00  -4.2598077732781714e-01  -1.2362558684504052e+00  2.5958223272755165e-01  5.3756512937755696e-01  
7.6597929814294996e-15  1.0000000000000098e+00  -1.5455366691627836e-01  1.2455517280033988e+00  -1.0452070480448168e+00  -5.4469469500718191e+00  8.5678278919154094e-01  2.4670092757422486e+00  
-7.4430699249083814e-14  9.9999999999999389e-01  -1.6567363354487974e-01  2.5633683238615039e+00  -1.3941810748583175e-01  3.0420989276211741e-01  5.5503115553076736e-02  4.0880432501067349e-02  
2.2122539627043024e-14  1.0000000000000013e+00  -1.7542340411867377e-01  1.6508828449219102e+00  -4.7668573257139141e-01  -1.3505346300488508e+00  2.9549576529028182e-01  5.8401780161295469e-01  
4.7526661458171700e-16  1.0000000000000007e+00  -3.6679686408247747e-01  1.2130590239880055e+00  -5.4710978316565608e+00  -1.2897085517126836e+01  5.0887007143050722e+00  6.6760414758181819e+00  
1.5148051970380044e-14  1.0000000000000298e+00  -3.9479350051064005e-01  2.4211732276568450e+00  -4.6160843686652581e-01  9.1252262750361843e-02  2.1194671663318632e-01  1.1033091528083497e-01  
2.4461438087612036e-15  9.9999999999999811e-01  -2.4206145114348476e-01  1.2456932131441241e+00  -1.8562548095123543e+00  -6.2611069870509075e+00  1.5683972883831374e+00  2.9423696360767049e+00  
3.9504573129132781e-14  1.0000000000000109e+00  -2.1246064963793918e-01  1.7683385814395660e+00  -4.8946046907782742e-01  -9.4342780645433555e-01  2.8607162305336375e-01  4.3390905646599087e-01  
2.3181837082571422e-15  1.0000000000000018e+00  -3.7362285432029224e-01  1.1551448291723814e+00  -2.4739564392377119e+01  -6.0646823937744728e+01  2.4377405922822675e+01  3.2380683365936335e+01  
8.0083031611784179e-17  1.0000000000000024e+00  -3.2028925634904237e-01  1.2374990642523620e+00  -3.1280812443428427e+00  -8.1641863361992009e+00  2.7670497208928637e+00  4.0378094299066234e+00  
-1.2253633689930279e-14  9.9999999999996514e-01  -3.6051059870305535e-01  1.8170631723938260e+00  -8.8012061079416348e-01  -1.0146329762947677e+00  5.3174574909092431e-01  4.9590541793446979e-01  
8.7079606246657678e-15  1.0000000000000200e+00  -1.5075766908672669e-01  1.6766734563561492e+00  -3.8726246413429688e-01  -1.2124781239810201e+00  2.3492331064060573e-01  5.2651959550538718e-01  
-2.2262433845139983e-14  9.9999999999999833e-01  -3.0350117175638092e-01  1.5882152497047621e+00  -1.0287016357143843e+00  -1.9462973252612561e+00  6.9485173990276250e-01  8.6972776569831156e-01  
5.3025226267447933e-14  9.9999999999998934e-01  -3.7861726601704532e-01  2.3361370339864349e+00  -4.7854116601649604e-01  1.4414543594456410e-02  2.2583748348094310e-01  1.3138022370153207e-01  
-1.9687012878405968e-14  1.0000000000000129e+00  -1.4056877754084246e-01  1.6119247503907832e+00  -4.0066884048238249e-01  -1.4896378984839611e+00  2.5232096482984906e-01  6.3366499346505201e-01  
7.2592012317114196e-14  9.9999999999997025e-01  -2.7223283767738721e-01  2.0285442321761145e+00  -4.5412787002662558e-01  -3.4741586523008061e-01  2.3580700199310917e-01  2.3260707462190744e-01  
-8.4553892472215003e-17  9.9999999999998512e-01  -3.9566791545610175e-01  1.9839425710998286e+00  -7.8778956088851004e-01  -5.9217442792435815e-01  4.4274561112491706e-01  3.4147782229399809e-01  
3.0825551275289266e-15  9.9999999999999878e-01  -3.6310377997652010e-01  1.2528142660033939e+00  -3.8407204050428421e+00  -8.8125881351366715e+00  3.4418352382048507e+00  4.4648291116598813e+00  
-1.4156690309635711e-15  1.0000000000000000e+00  -2.8345033053864138e-01  1.1094345518489370e+00  -1.0314088579258078e+01  -3.3936973282424567e+01  1.0029940775985720e+01  1.7441974499658663e+01  
-9.6573860662462721e-15  9.9999999999999611e-01  -1.6375145217886711e-01  1.3974650265846673e+00  -7.2672459157977176e-01  -3.0723834332599140e+00  5.3150874199523179e-01  1.3248762421020683e+00  
5.2008625926972097e-14  9.9999999999999145e-01  -2.2034144077916507e-01  2.4857135420731495e+00  -2.0781955186805512e-01  2.3593832993804775e-01  8.6568862007662450e-02  5.8871170547257379e-02  
-2.2302044999636431e-14  1.0000000000000406e+00  -2.0611490870691451e-01  1.6070385855517295e+00  -6.1659077806421192e-01  -1.6081011636265976e+00  3.9625901214601583e-01  6.9401367174702688e-01  
