#q1           q2            q3            q4            lamb1         lamb2         lamb3         lamb4         
6.7128672331189752e-16  9.9999999999999956e-01  -1.5513245215873996e+00  7.1719698858736374e+00  -6.4877085783707944e-01  7.3748495636009526e-01  2.7393039524576834e-01  2.7882677913706754e-02  
-2.2897328359861276e-16  1.0000000000000004e+00  7.2835709697193995e-01  4.0434367393441129e+00  3.5796514657309386e-01  5.4237250043795415e-01  -1.3148414055537044e-01  1.2523827681747573e-02  
-2.6284398159336287e-16  1.0000000000000002e+00  5.4707251749673369e-01  3.2488545398332702e+00  3.5335592882324168e-01  4.5807796782010346e-01  -1.3492049517039442e-01  2.3491198627176805e-02  
6.6637373966855825e-16  1.0000000000000000e+00  5.0443657921298246e-01  3.3400449789889821e+00  2.8683713357244195e-01  4.8905786210221419e-01  -1.0468970927137482e-01  1.3496242820142569e-02  
-2.4031212064545572e-16  1.0000000000000002e+00  4.7033593021896736e-01  2.7058446718293068e+00  4.4570907882644206e-01  2.6614511555167536e-01  -1.9130963066571519e-01  6.8153316030422267e-02  
-4.4025416084816237e-14  9.9999999999999978e-01  2.3547179464522336e-01  3.1177851788867050e+00  1.1775331843571307e-01  5.0232773759873006e-01  -3.9842465946692544e-02  1.8835370570142534e-03  
2.5798012914241890e-26  1.0000000000000000e+00  4.2119286213290552e-03  1.8231948220751211e+00  8.3435400691952051e-03  -6.6559438563940487e-01  -4.5763884759562621e-03  3.1966504200717399e-01  
-5.7261051646450228e-16  1.0000000000000004e+00  -1.2699572160477275e+00  4.6586521868579345e+00  -9.8423879809654735e-01  6.2744303604731688e-01  4.6637409736440938e-01  8.1672730536516025e-02  
0.0000000000000000e+00  1.0000000000000002e+00  -1.6634435879677789e-01  2.3016339986058041e+00  -1.8680406482479001e-01  9.5147234901916775e-02  8.2769508067755612e-02  9.2435445096182331e-02  
-1.6418947664675352e-15  1.0000000000000000e+00  5.7363861204677913e-01  2.0267334314411469e+00  1.3805095312873228e+00  -8.4161299690521774e-01  -8.5158311093408290e-01  5.1175068102771204e-01  
-1.7772369732215639e-16  1.0000000000000000e+00  -2.5968519027682508e-02  2.1856300231199346e+00  -3.2136736406431110e-02  -4.2208611418094151e-03  1.4710711036640685e-02  1.1548017708194432e-01  
-4.0080524024417263e-16  1.0000000000000004e+00  -1.2793132317046589e+00  4.9791078569871248e+00  -8.4947291668730263e-01  6.4930952933143238e-01  3.8370776968646531e-01  5.8947719936060967e-02  
3.3248250516206210e-15  1.0000000000000002e+00  -1.6530142471161309e-02  2.5397570940328311e+00  -1.3688777023853098e-02  3.0931325571457008e-01  5.3909021290905667e-03  3.7566665982374077e-02  
-2.4115603946330813e-16  1.0000000000000000e+00  3.7361128860466108e-01  2.4098978549552470e+00  4.3293982753472249e-01  9.5001962699667653e-02  -1.9761809040554132e-01  1.0700589660924018e-01  
1.0442796962842657e-15  1.0000000000000007e+00  -6.3715607467945046e-01  2.0277251074826266e+00  -1.7194329956084324e+00  -1.0230179683457286e+00  1.1155261320654626e+00  6.3844066832705149e-01  
-3.2081231863581131e-16  1.0000000000000002e+00  5.6908112780614906e-01  2.4198514987170738e+00  8.2340187081348026e-01  -6.8514149081716796e-02  -4.1977956482790679e-01  1.9150908471996328e-01  
8.4470036799432155e-17  1.0000000000000004e+00  -4.0971357733345021e-01  2.8887888239472139e+00  -3.0459742467067258e-01  3.8787014227604688e-01  1.1905269757486352e-01  3.2071592791725459e-02  
-1.5846926843386604e-16  1.0000000000000000e+00  3.4494941165269515e-02  2.4611774818385248e+00  3.1177353578063227e-02  2.5596907202360486e-01  -1.2678744980027200e-02  4.9709327877649589e-02  
1.5621002995920139e-16  1.0000000000000004e+00  -7.3585987471603498e-01  2.2270594691405838e+00  -1.7989206685769099e+00  -7.1309461815652442e-01  1.1453375019766039e+00  5.5618328081302459e-01  
-4.0340167941717147e-16  1.0000000000000007e+00  -7.6023065157255221e-01  2.4411006125172343e+00  -1.4675696409415437e+00  -3.1030589530006963e-01  8.6135916543197200e-01  3.6716089158101428e-01  
