#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-1.8568925877604543e-14  9.9999999999996936e-01  -3.4956527220802541e-01  2.0101953922604676e+00  -1.6695239359741563e+00  4.7371306886679188e+00  5.4479682008218280e+00  1.0473032090919084e+01  -1.3350794877539197e+01  -1.2007437684166614e+01  5.6095126502401635e+00  3.8500195613893462e+00  
1.6617057216289213e-14  9.9999999999995581e-01  -3.1589550736667427e-01  2.4088728946218128e+00  -7.6785560907482409e-01  6.1171293622175842e+00  -1.0637645222230296e+01  2.3059619855488052e+01  9.3103370076899203e+00  -1.8413376191938841e+01  -1.9758179801345788e+00  3.6384238945038443e+00  
2.1174040387152703e-15  9.9999999999999434e-01  -2.8150142904792713e-01  2.0139192331870044e+00  -1.5410798534742847e+00  4.9302048121796505e+00  3.9833298498038472e+00  5.2515042189363053e+00  -8.2596527414511787e+00  -6.0692337941886372e+00  3.1449240485282819e+00  1.9149428101675663e+00  
2.7066056517575091e-14  9.9999999999998224e-01  -3.7699938138434191e-01  1.8961014092453639e+00  -9.9672517276626982e-01  4.9063918125493799e+00  -1.9749589656699575e+00  -2.7351432178125679e-01  1.8732549480929515e+00  1.7717303554870285e-02  -3.4254592335847978e-01  6.1966126463931404e-02  
5.1587525757209076e-15  9.9999999999998801e-01  -2.0155961156561919e-01  1.9898190349279474e+00  -6.2559499390930517e-01  5.1050740612087466e+00  -8.5687454528588347e-01  1.9134997197196257e-02  7.7764829449528738e-01  -2.9616913141621272e-02  -1.3543943603166803e-01  4.0614346939037801e-02  
-9.9649210616920893e-15  9.9999999999998246e-01  -1.9534436387698301e-01  1.8786454339350271e+00  -1.2889413947946209e+00  5.6318248184317188e+00  2.8230600991619526e-01  -1.1116971092818693e+00  -6.8485791116666661e-01  4.5665256524165682e-01  2.5126647735836527e-01  2.9884647952330933e-02  
-1.3555479574890585e-14  9.9999999999998535e-01  -3.5235319697278034e-01  2.0252009180698840e+00  -9.4767558568837795e-01  5.2620488388561020e+00  -1.9874806734865909e+00  5.5851418991873603e-01  1.9120077040007166e+00  -4.4243636182531138e-01  -3.6491431271495223e-01  1.1906217508890636e-01  
-3.8207617627516303e-14  1.0000000000000042e+00  -2.9180221378158977e-01  1.6800630779780992e+00  -6.9065902068893592e-01  4.1268269765445620e+00  -1.6868880845485363e+00  -1.1563879193344260e+00  1.6894193485640523e+00  4.0088890810722522e-01  -3.2757213556981524e-01  3.9030264599379402e-02  
3.0112144288768722e-14  1.0000000000000084e+00  -2.4447940539124105e-01  2.4182248264916995e+00  -1.2542692661173989e+00  6.2055596813481495e+00  1.2777824154206416e+00  1.8571269037515123e+01  -5.2321898890654488e+00  -1.5015336385135333e+01  1.9411887000285128e+00  3.1540447455141996e+00  
6.3414039809721174e-15  1.0000000000000202e+00  -1.8332189986920250e-01  2.2714425257278346e+00  -1.6522193887303880e+00  6.3248967951112327e+00  7.3727300925316097e+00  8.1486027381283233e+00  -1.2558894053827403e+01  -8.1843664169977863e+00  4.1228739481699535e+00  2.2718833586578913e+00  
-1.1210212594374535e-14  1.0000000000000051e+00  -1.8991522654229495e-01  2.2705316171331495e+00  -1.0680479584894478e+00  6.3545149205499634e+00  2.8308810602996748e-01  2.1106774086830855e+00  -7.0944184322245407e-01  -1.3916385614578166e+00  2.2027776743411498e-01  2.6725924788919353e-01  
4.8484402312457884e-15  9.9999999999999911e-01  -3.3691822729753429e-01  1.7170476645100725e+00  -1.1326594235219052e+00  3.3784556119407387e+00  -4.0147093452822948e-02  4.7593203977955092e+00  -2.2639406751438012e+00  -5.8602772485682504e+00  1.3168399960346884e+00  1.8203696408451466e+00  
1.1708662871619579e-13  9.9999999999986044e-01  -3.3393248985638507e-01  1.7523823723229726e+00  -1.1667046750724439e+00  5.4657018911593322e+00  -9.0981346296688659e-01  -1.2949834027513083e+00  5.7972082708284756e-01  6.1573679318023644e-01  -5.7108736529728425e-03  -6.0224516175986804e-03  
-5.9750707883082903e-15  9.9999999999998934e-01  -1.8887457728450141e-01  2.1727115539331763e+00  -6.5638907001281233e-01  4.9732497450575393e+00  -1.5386610283837958e+00  1.3471776926595993e+01  3.4636069441411754e-01  -1.1676936720218734e+01  1.6044436507625229e-01  2.5557310675312919e+00  
-4.4146709959777168e-15  1.0000000000000049e+00  -1.8279276696610761e-01  1.6813123199561901e+00  -1.1579637801078762e+00  5.1015138261919688e+00  3.2845928484870046e-01  -2.0228944878719397e+00  -9.2707685320010957e-01  8.1812868561786112e-01  3.9930091059943718e-01  4.4011797201032252e-02  
1.0677563918872366e-14  9.9999999999990785e-01  -3.1931834541514309e-01  1.6946919549257486e+00  -1.5573908713594482e+00  5.0704195096330666e+00  -1.4312067479495671e-01  -2.5332224254099200e+00  -6.9539536648992495e-01  1.1231180551755160e+00  4.9066817243042193e-01  5.2847089776973853e-02  
8.4037096966966326e-15  1.0000000000000158e+00  -1.4714145333942122e-01  2.0153831255963794e+00  -7.9748243794172302e-01  4.3807351648629060e+00  3.1262893950582722e+00  1.3131932436850231e+01  -6.5959269100856508e+00  -1.2905673615736543e+01  2.4463789569115186e+00  3.2573969771822409e+00  
-1.3011161443843312e-14  1.0000000000000029e+00  -1.5201654703593184e-01  1.7534355265829649e+00  -7.7299812327423778e-01  4.0274321061684359e+00  2.5695762875083084e-01  -9.8262042413538264e-01  -6.5326850797132541e-01  3.3531015472124537e-01  2.4513563537841518e-01  5.2265973536659655e-02  
3.0675590462653939e-15  9.9999999999998535e-01  -2.6183171898448798e-01  1.7936519801534969e+00  -1.7102392292356798e+00  5.7090156568041968e+00  9.2077848553578379e-01  -2.6236538638188773e+00  -2.0810369161214717e+00  9.9499774479751824e-01  8.7530042823162280e-01  1.4476547722951272e-01  
-2.6446826219636049e-14  9.9999999999999911e-01  -3.6341132794134440e-01  1.6144714643491669e+00  -7.5080278014755342e-01  3.8066097095234022e+00  -2.9504781459716458e+00  -1.5296584901773778e+00  3.1919556803222688e+00  3.7200356076260399e-01  -6.9169187127215470e-01  1.1122399799370797e-01  
8.8729190354599450e-14  1.0000000000002636e+00  -2.1186568938343520e-01  1.4735660449507100e+00  -1.3981064316710852e+00  6.2880516526477441e+00  1.4151426287900362e-01  -4.7752863809275397e+00  -1.2805821607049479e+00  2.1338764299068793e+00  8.3889401812930142e-01  8.0134061345114554e-02  
3.0042459519704295e-13  9.9999999999999911e-01  -2.4167817134203476e-01  1.7615635488171018e+00  -8.3099361801086946e-01  6.1218463889197992e+00  -6.0267150706950434e-01  -1.1119493677182566e+00  3.6927907189207099e-01  5.1646191653144058e-01  -3.6370644530214404e-03  -5.0481117832468381e-03  
