#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
-2.3680944167644848e-14  9.9999999999999156e-01  -2.2700935035829201e-01  1.7006569980824076e+00  -8.8066820451902450e-01  3.7970045801271315e+00  -4.5653697955926553e-01  -1.2970855195420006e+00  1.7433821748459521e-01  5.8107831792076503e-01  5.4187807055148612e-02  -8.4372815361326997e-05  
6.4622170314224910e-16  1.0000000000000007e+00  -2.5865879410947734e-01  2.2963484657096949e+00  -7.1662110108945720e-01  5.9418354245676852e+00  -2.1471335536455634e+00  5.4749745633361169e+00  1.9933160040239752e+00  -4.0025166557700711e+00  -4.1208650925771073e-01  7.5411489266949827e-01  
8.4739055399222985e-15  9.9999999999999811e-01  -2.6598437747049308e-01  2.1261147601423342e+00  -1.5259193487699216e+00  5.5274793432224545e+00  2.1608464781544203e+00  3.8305618105123571e+00  -4.3079005607586538e+00  -3.6659194703702234e+00  1.4876644458596613e+00  9.7779094269023270e-01  
2.5523086856034428e-15  9.9999999999999600e-01  -3.1548170534415942e-01  1.8845719759497530e+00  -7.6122773530089949e-01  4.2887768706544138e+00  -2.6554585668650912e+00  1.3874496861637167e+00  2.8478009857966171e+00  -1.3945340008820604e+00  -6.4231327444741981e-01  3.4928580755317462e-01  
1.2681249209567387e-15  9.9999999999999400e-01  -3.5542836579696568e-01  1.7580271226607533e+00  -8.1253561355983850e-01  3.6482565127406801e+00  -4.1190785555835934e+00  1.9531600716746964e+00  4.6716109273871007e+00  -2.4071999146306249e+00  -1.1522523499879149e+00  6.5425816079548282e-01  
-2.0262984996458673e-14  1.0000000000000131e+00  -2.9198512084908612e-01  2.0644520746125754e+00  -9.7483923215934531e-01  6.1836233597252441e+00  -8.9381474953575557e-01  -1.2565407514144794e-01  7.1373127395733005e-01  1.1871733616675564e-01  -1.0126241699741692e-01  1.0850892639420146e-02  
-2.8565676229380006e-15  1.0000000000000200e+00  -3.3270550068953075e-01  2.1635020182921005e+00  -9.4107812107192101e-01  4.8602193987327018e+00  -1.7772621241204700e+01  4.4246363035931779e+01  1.2924210976719902e+01  -4.0193617861388439e+01  -2.1786759605963577e+00  9.0185062535098091e+00  
1.0113390099481445e-14  1.0000000000000202e+00  -1.8299751820608728e-01  2.1279293016714873e+00  -1.1909150580986239e+00  5.9646850739699868e+00  6.1863647182840964e-01  7.6943713736245001e-01  -1.0947590942987446e+00  -6.1560280664871048e-01  3.2099309240762181e-01  1.6796990948003171e-01  
-1.0006937717409756e-15  1.0000000000000016e+00  -2.8439091736245414e-01  1.9105416471777898e+00  -1.4213983312016711e+00  4.9396004243179696e+00  3.5815960925809409e-01  -3.8894206201272652e-01  -1.0996795920488349e+00  -9.2401289124854541e-02  4.3696655610995777e-01  1.5694019668392678e-01  
-7.9397074950878857e-15  1.0000000000000007e+00  -2.4633436902717018e-01  1.8389396447587893e+00  -1.1793661642936966e+00  3.9305009017853649e+00  4.2781178376629612e+00  7.2006520132499654e+00  -9.4758268245638906e+00  -8.9271707872636092e+00  3.8966934963461579e+00  2.8936212639369607e+00  
