#q1           q2            q3            q4            q5            q6            lamb1         lamb2         lamb3         lamb4         lamb5         lamb6         
1.3157983051652900e-16  1.0000000000000002e+00  -2.1555602050849842e-01  2.0518883978557785e+00  -1.0838705897462537e+00  5.6568125465392907e+00  -2.0245805275340295e-01  -1.4249658453233269e-01  -4.7139555596577903e-03  1.0021128981089567e-01  4.2407031323060090e-02  2.0308078019469111e-02  
-2.7239230830439304e-17  1.0000000000000000e+00  8.5516326378882360e-02  1.7573638349268350e+00  3.9721529775889025e-01  3.8460679493872267e+00  -6.5579079176483313e-02  -4.8749401922685165e-01  2.5825200198695880e-01  5.2642437579124124e-02  -1.0325423571223059e-01  7.5564486462184333e-02  
4.7360033744385754e-16  1.0000000000000002e+00  3.0796365376972490e-01  2.3535454668571414e+00  1.7725005464863854e+00  7.9882943982309111e+00  3.3054570813788270e-01  1.1114155747327521e-01  -1.2910874709250691e-01  8.4424122177681096e-02  -7.1315355015190976e-03  3.4512686931174258e-03  
9.1249064808888547e-17  1.0000000000000000e+00  -7.6411385830916190e-01  2.6802957266606291e+00  -4.3301722314496827e+00  1.1187195629532468e+01  -7.5957293512170576e-01  -2.2883319739700680e-01  1.4340428595979641e-02  2.5164527013542837e-01  2.0281132390440820e-01  4.7429884830731774e-02  
-2.7772953917426762e-15  1.0000000000000009e+00  -8.1003271442595470e-01  2.3906758561348003e+00  -3.7617976872567369e+00  8.5020804002844237e+00  -1.2404167350083386e+00  -1.2608654894710833e+00  2.2859226386495287e-02  8.0203159674494473e-01  5.3972366723247689e-01  1.1878165453325988e-01  
1.3041826579385770e-16  1.0000000000000000e+00  2.3404732343807730e-01  1.9885986553139898e+00  1.0511878372116927e+00  5.1569370558321079e+00  3.3231045743285570e-01  -6.7840563460681194e-02  -9.1433160285510878e-02  1.4617668196029458e-03  -3.3995169402750679e-02  4.4177685459098448e-02  
-7.1457814177874024e-16  9.9999999999999967e-01  -2.3042067297466942e-01  1.3723885842203740e+00  -7.3574248303672640e-01  2.2357822356502459e+00  1.4509005356104050e+00  -1.7712793533532707e+00  -4.5190064129887935e+00  -1.4775882179626123e+00  2.4561068436513720e+00  1.3839565457152854e+00  
3.0449014296791016e-17  1.0000000000000000e+00  -2.2807856295475684e-01  1.8439509752847250e+00  -9.3374492807258735e-01  4.2765436237902144e+00  -2.9258025898744472e-01  -5.3948325245266132e-02  -5.7631389643337277e-02  -2.1232502257663055e-01  1.0328709109863658e-01  1.2146685844744322e-01  
2.0950094054191425e-15  1.0000000000000002e+00  8.6586043300325072e-02  1.5543702633807530e+00  4.2789531739504894e-01  2.9359790439332349e+00  -7.6867755909401658e-01  -1.1039774408575012e+00  1.5014084813776514e+00  -7.2483897082104690e-02  -5.6123271922883189e-01  2.5371226400259711e-01  
-1.3062420162115740e-16  9.9999999999999956e-01  1.3925137013740074e-01  2.3014894593862527e+00  8.5286603408437345e-01  7.4120924450673060e+00  9.8268722926599328e-02  1.6903907507263788e-01  -6.5557902838609319e-03  4.7650555929498545e-02  -1.1904253844606786e-02  6.2230564501472158e-03  
3.7199168257055766e-14  1.0000000000000004e+00  8.7358524890180658e-02  3.0187142822132778e+00  8.8005871999603691e-01  1.5360133870379963e+01  4.3546588432574335e-02  5.0084743756017613e-01  -1.4530983400563066e-02  1.7536396017971790e-04  -9.8901152283891504e-07  2.1471300514756892e-09  
5.2899892225320068e-15  1.0000000000000018e+00  -1.2297554070144903e+00  3.4592399282233770e+00  -7.4131969380926064e+00  1.8599091828537844e+01  -2.0275863879937073e+00  -6.6482227517012893e-01  1.0143592980756309e+00  9.5850613602286705e-01  3.3033665760172110e-01  4.5282934564515313e-02  
-4.0928545827205545e-18  9.9999999999999967e-01  3.7317123544893960e-01  2.3704618912848878e+00  2.1836973106744146e+00  8.1042104237432717e+00  2.3221570470367345e-01  2.1717482960080547e-01  7.8172818575368952e-02  -1.5211542396866444e-02  -6.8653881940144740e-02  2.8215062299756403e-02  
5.5557948418637843e-15  1.0000000000000013e+00  1.0517169345339041e+00  2.5993655874434936e+00  4.5789336926824191e+00  9.5805537670845204e+00  2.5050506962120487e+00  -2.5218102435972236e+00  -5.5360710974980487e-01  2.1919953880824790e+00  -1.4096333118679913e+00  3.0047379716671796e-01  
3.8051652362700092e-17  1.0000000000000000e+00  2.6183813432366432e-01  2.3166394668718833e+00  1.3330286919196424e+00  7.3873948020378206e+00  3.9614000747615785e-01  2.7325633122995185e-01  -2.1900075520546419e-01  -4.3876870272265200e-03  1.3992487181623539e-02  1.2925449852713624e-02  
3.1237122074634984e-16  1.0000000000000004e+00  -2.4128550877418381e-01  2.1280514743432808e+00  -1.3179926852400576e+00  6.1875097375022312e+00  -8.9458778238991260e-02  3.0754182582800584e-02  -1.6592584445697769e-01  5.5076102733967978e-03  8.1945063874803756e-02  3.5327033715802800e-02  
-2.3238215971273810e-31  9.9999999999999944e-01  9.8913944835610626e-02  2.0683791878577509e+00  4.7853823666372552e-01  5.6432900401191306e+00  1.3470757185095455e-01  -6.0056214177468580e-03  -5.3203948775750590e-02  5.1554882166563981e-02  -4.5841900248421684e-03  1.8081280177513599e-02  
-3.7816392778251978e-15  1.0000000000000002e+00  -3.8889230426104154e-01  2.3258590253009084e+00  -2.0650912956313934e+00  7.5683894367747442e+00  -4.3019400454235945e-01  2.5504694231592301e-01  1.1874675234203483e-01  -2.8849332125214355e-02  3.1070073327076047e-02  2.6814507627787695e-02  
4.6356241293933268e-17  1.0000000000000000e+00  5.3117065302108168e-01  2.1944621442186185e+00  2.5494563987338004e+00  6.8963581945911754e+00  6.5806953012351022e-01  -3.5862938530625615e-01  -6.7526912720757781e-02  2.0540715821763378e-01  -1.4377030554645764e-01  4.4818616747660675e-02  
-1.9841907234645564e-16  9.9999999999999978e-01  4.9181536898867895e-02  1.7226225517335105e+00  1.4215310422802713e-01  3.6444304307708744e+00  2.6396651424777096e-01  -5.4691766958094012e-01  -2.6443718584201054e-01  7.1017132283125756e-02  5.2562337619734945e-02  7.3452230716558806e-02  
-4.2554332044241484e-17  1.0000000000000000e+00  4.3144226543528241e-01  1.7483714872392224e+00  1.5971012313495729e+00  3.9946340161782761e+00  5.1353513322740485e-01  -1.1543767000588514e+00  6.0916418391513572e-01  1.6577338496773777e-01  -5.7148168523835396e-01  2.4718712348402200e-01  
-1.7216460394992981e-14  1.0000000000000000e+00  4.8067662737717259e-02  2.3872267277391637e+00  2.8375684363906650e-01  7.8222631409781069e+00  4.2175474700685799e-02  4.4061986498206385e-01  -1.0564982220262560e-02  -7.1902531555370380e-02  -2.1814315867241039e-03  1.7257779039077555e-02  
1.2118547203261150e-16  1.0000000000000002e+00  5.7246314058776226e-01  2.3950741308641397e+00  3.1260461332220801e+00  8.7129611299375060e+00  5.4290633766138208e-01  -2.4847750849146666e-01  9.2459181085558298e-03  2.0369493067921943e-01  -1.3636530965449609e-01  3.1773346221049457e-02  
-2.0192040431833261e-16  1.0000000000000004e+00  3.2116667165240403e-01  2.5260803779248708e+00  1.7848746882468418e+00  9.1771283721886370e+00  4.4071761066194126e-01  3.6779848869059617e-01  -2.4803079615146387e-01  6.8687001163087050e-03  1.9288840948066665e-02  4.7552334018112043e-03  
9.7826715182595394e-17  9.9999999999999944e-01  -7.9792063036437344e-01  2.5563873031371864e+00  -3.9589528549812050e+00  9.5060014111064692e+00  -1.2218553767841185e+00  -7.8272296947817691e-02  4.4188060383548222e-01  2.0165767786399991e-01  1.3293076785993230e-01  4.8803805248422379e-02  
-1.4288708572020792e-16  1.0000000000000002e+00  4.7381286275487727e-01  2.4619759521724851e+00  2.8766381911917778e+00  9.4237145097909512e+00  4.2878574883713094e-01  -4.0795819404718978e-02  -9.2383158036767929e-02  1.5064571424237166e-01  -4.4768247036865029e-02  6.6016849832290407e-03  
